Gymnodinium name	Correct Name or Reason for Rejecting	Reference
Gymnodinium lira Kofoid & Swezy 1921	Cucumeridinium lira (Kofoid & Swezy 1921) Gómez et al. 2015	Gómez et al. 2015
Gymnodinium loburare Campbell 1973	Not code compliant	
Gymnodinium marianae	Balechina marianae Taylor	[315]
Gymnodinium medium Cleve-Euler	Rejected by Silva as nomen nudum	ucjeps.berkeley.edu
Gymnodinium metum Hulburt 1957	Not code compliant	
Gymnodinium microadriaticum (Freudenthal) Taylor 1971	Symbiodinium microadriaticum Freudenthal 1962	[325]
Gymnodinium micrum (Leadbeater and Dodge) Loeblich 1970	Karlodinium veneficum (Ballantine) Larsen 2000	[7]
Gymnodinium mikimotoi Miyake & Kominami 1935	Karenia mikimotoi (Miyake and Kominami) Hansen and Moestrup 2000	[7]
Gymnodinium mikimotoii	Karenia mikimotoi (Miyake and Kominami) Hansen and Moestrup 2000	[7]
Gymnodinium mikinotoi	Karenia mikimotoi (Miyake and Kominami) Hansen and Moestrup 2000	[7]
Gymnodinium minutissimum Massart 1901	Rejected by Silva as nomen nudum	ucjeps.berkeley.edu
Gymnodinium minutum Lebour 1925	Heterocapsa rotundata (Lohmann) Hansen 1995	[326]
Gymnodinium mirum Utermöhl 1923	Woloszynskia pascheri (Suchlandt) von Stosch 1973	[12]
Gymnodinium monadicum (Perty) Saville-Kent 1880	Katodinium monadicum (Perty) Javornicky	[12]
Gymnodinium musaei Danysz 1887	Katodinium Wołoszynskae (Schiller) Loeblich 1965	[310]
Gymnodinium musei Danysz 1887	Katodinium Wołoszynskae (Schiller) Loeblich 1965	[12]
Gymnodinium myriopyrenoides Yamaguchi, Nakayama, Kai & Inouye 2011	Nusuttodinium myriopyrenoides (Yamaguchi, Nakayama, Kai & Inouye) Takano & Yamaguchi	Takano et al. 2014
Gymnodinium nagasakiense Takayama and Adachi 1985	Karenia mikimotoi (Miyake and Kominami) Hansen and Moestrup 2000	[7]
Gymnodinium nagasakiensis	Karenia mikimotoi (Miyake and Kominami) Hansen and Moestrup 2000	[7]
