Measurement ID	Occurrence ID	MeasurementParent	MeasurementOfTaxon	Measurement Type	Measurement Value	Unit	Statistical Method	Remarks	Contributor	ReferenceID
M0075	C011		true	http://eol.org/schema/terms/CellLength	54	http://purl.obolibrary.org/obo/UO_0000017	http://semanticscience.org/resource/SIO_001114		Compiler: Anne E Thessen	R003
M0076	C011		true	http://eol.org/schema/terms/CellLength	30	http://purl.obolibrary.org/obo/UO_0000017	http://semanticscience.org/resource/SIO_001113		Compiler: Anne E Thessen	R003
M0078	C011		true	http://eol.org/schema/terms/SulcusType	http://eol.org/schema/terms/straightSulcus				Compiler: Anne E Thessen	R003
M0079	C011		true	http://eol.org/schema/terms/NucleusLocation	http://purl.obolibrary.org/obo/BSPO_0000056				Compiler: Anne E Thessen	R003
M0080	C011		true	http://purl.obolibrary.org/obo/OBA_1000018	http://purl.obolibrary.org/obo/PATO_0001499				Compiler: Anne E Thessen	R003
M0081	C011		true	http://purl.obolibrary.org/obo/OBA_1000075	http://purl.obolibrary.org/obo/PATO_0001945				Compiler: Anne E Thessen	R003
M0082	C011		true	http://eol.org/schema/terms/CellLength	54	http://purl.obolibrary.org/obo/UO_0000017	http://semanticscience.org/resource/SIO_001114		Compiler: Anne E Thessen	R003
M0083	C011		true	http://eol.org/schema/terms/CellLength	35	http://purl.obolibrary.org/obo/UO_0000017	http://semanticscience.org/resource/SIO_001113		Compiler: Anne E Thessen	R003
M0084	C011		true	http://eol.org/schema/terms/CellWidth	35	http://purl.obolibrary.org/obo/UO_0000017	http://semanticscience.org/resource/SIO_001114	rarely 21-45 ?m	Compiler: Anne E Thessen	R003
M0085	C011		true	http://eol.org/schema/terms/CellWidth	30	http://purl.obolibrary.org/obo/UO_0000017	http://semanticscience.org/resource/SIO_001113	rarely 21-45 ?m	Compiler: Anne E Thessen	R003
M0086	C011		true	http://eol.org/schema/terms/CellDepth	35	http://purl.obolibrary.org/obo/UO_0000017	http://semanticscience.org/resource/SIO_001114		Compiler: Anne E Thessen	R003
M0087	C011		true	http://eol.org/schema/terms/CellDepth	30	http://purl.obolibrary.org/obo/UO_0000017	http://semanticscience.org/resource/SIO_001113		Compiler: Anne E Thessen	R003
M0088	C011		true	http://purl.obolibrary.org/obo/GO_0097687	http://purl.obolibrary.org/obo/PATO_0000462				Compiler: Anne E Thessen	R003
M0089	C011		true	http://purl.obolibrary.org/obo/GO_0097686	http://purl.obolibrary.org/obo/PATO_0000462				Compiler: Anne E Thessen	R003
M0090	C011		true	http://eol.org/schema/terms/CellShapeTransverse	http://purl.obolibrary.org/obo/PATO_0000411				Compiler: Anne E Thessen	R003
M0091	C011		true	http://eol.org/schema/terms/CellShapeMedian	http://eol.org/schema/terms/oval2D				Compiler: Anne E Thessen	R003
M0092	C011		true	http://eol.org/schema/terms/CellShapeFrontal	http://eol.org/schema/terms/oval2D				Compiler: Anne E Thessen	R003
M0093	C011		true	http://eol.org/schema/terms/HypoconeShape	http://eol.org/schema/terms/hemispherical				Compiler: Anne E Thessen	R003
M0094	C011		true	http://eol.org/schema/terms/EpiconeShape	http://eol.org/schema/terms/hemispherical				Compiler: Anne E Thessen	R003
M0095	C011		true	http://eol.org/schema/terms/ColonyForming	http://purl.obolibrary.org/obo/PATO_0000462				Compiler: Anne E Thessen	R003
M0096	C011		true	http://eol.org/schema/terms/Habitat	http://purl.obolibrary.org/obo/ENVO_01000321				Compiler: Anne E Thessen	R003
M0097	C011		true	http://purl.obolibrary.org/obo/GO_1990413	http://purl.obolibrary.org/obo/PATO_0000462				Compiler: Anne E Thessen	R003
M0098	C011		true	http://purl.obolibrary.org/obo/OBA_1000092	http://purl.obolibrary.org/obo/PATO_0000599				Compiler: Anne E Thessen	R003
M0099	C318		true	http://purl.obolibrary.org/obo/GO_0009507	http://purl.obolibrary.org/obo/PATO_0000462				Compiler: Anne E Thessen	R038
M0100	C012		true	http://eol.org/schema/terms/CellShape3D	http://purl.obolibrary.org/obo/PATO_0001499		http://eol.org/schema/terms/average	exact text globular	Compiler: Anne E Thessen	R010
M0101	C012		true	http://eol.org/schema/terms/CellShapeMedian	http://purl.obolibrary.org/obo/PATO_0000411		http://eol.org/schema/terms/average	actual text nearly circular	Compiler: Anne E Thessen	R010
M0102	C012		true	http://eol.org/schema/terms/CellShapeFrontal	http://purl.obolibrary.org/obo/PATO_0000411				Compiler: Anne E Thessen	R010
M0103	C012		true	http://eol.org/schema/terms/CellShapeTransverse	http://purl.obolibrary.org/obo/PATO_0000411				Compiler: Anne E Thessen	R010
M0104	C012		true	http://eol.org/schema/terms/CellLength	28	http://purl.obolibrary.org/obo/UO_0000017	http://semanticscience.org/resource/SIO_001114		Compiler: Anne E Thessen	R010
M0105	C012		true	http://eol.org/schema/terms/CellLength	25	http://purl.obolibrary.org/obo/UO_0000017	http://semanticscience.org/resource/SIO_001113		Compiler: Anne E Thessen	R010
M0106	C012		true	http://purl.obolibrary.org/obo/OBA_1000134	http://purl.obolibrary.org/obo/PATO_0001950				Compiler: Anne E Thessen	R010
M0107	C012		true	http://eol.org/schema/terms/ColonyForming	http://purl.obolibrary.org/obo/PATO_0000462				Compiler: Anne E Thessen	R010
M0108	C012		true	http://eol.org/schema/terms/Habitat	http://purl.obolibrary.org/obo/ENVO_01000321				Compiler: Anne E Thessen	R010
M0109	C012		true	http://eol.org/schema/terms/CingulumLocation	http://eol.org/schema/terms/preMedian				Compiler: Anne E Thessen	R010
M0110	C012		true	http://eol.org/schema/terms/EpiconeShape	http://eol.org/schema/terms/asymmetricCone				Compiler: Anne E Thessen	R010
M0111	C012		true	http://eol.org/schema/terms/HypoconeShape	http://eol.org/schema/terms/asymmetricHemisphere				Compiler: Anne E Thessen	R010
M0112	C012		true	http://purl.obolibrary.org/obo/OBA_1000135	http://purl.obolibrary.org/obo/PATO_0000574				Compiler: Anne E Thessen	R010
