Identifier	ScientificName	Parent TaxonID	TaxonRank	TaxonomicStatus	scientificNameAuthorship	namePublishedInYear	Name According To	taxonRemarks	nomenclaturalStatus
T642	Gymnodinium novaculosum	T641	species	synonym	Baumeister	1939			
T643	Tovellia nygaardii	T833	species		(Christen) Moestrup et al.	2005			
T644	Gymnodinium nygaardi	T643	species	synonym	Christen	1958			
T645	Gymnodinium nygaardii	T643	species	synonym	Christen	1958			
T646	Gyrodinium oblongum	T436	species		Larsen & Patterson	1990			
T647	Gymnodinium oblongum	T646	species						nom. Illeg.
T648	Peridinium umbonatum	T850	species	synonym	Stein	1883			
T649	Gymnodinium oligoplacatum	T648	species	synonym	Skuja	1956			
T650	Gyrodinium opimum	T436	species		(Schütt) Lebour	1925			
T651	Gymnodinium opimum	T650	species	synonym	Schütt	1895			
T652	Woloszynskia ordinata	T826	species		(Skuja) Thompson	1950			
T653	Gymnodinium ordinatum	T652	species	synonym	Skuja	1939			
T654	Gymnodinium ordinatum var. sparsum	T652	variety	synonym	Popovsky	1971			
T655	Gyrodinium ovatum	T436	species		(Gourret) Kofoid & Swezy	1921			
T656	Gymnodinium ovatum	T655	species	synonym	Gourret	1883			
T657	Gyrodinium ovum	T436	species		(Schütt) Kofoid & Swezy	1921			
T658	Gymnodinium ovum	T657	species	synonym	Schütt	1895			
T659	Oodinium parasiticum	T854	species		(Dogiel) Kofoid & Swezy	1921			
T660	Gymnodinium parasitica	T661	species	lexical variant					
T661	Gymnodinium parasiticum	T659	species	synonym	Dogiel	1906			
T662	Gyrodinium parvulum	T436	species		(Schütt) Kofoid & Swezy	1921			
T663	Gymnodinium parvulum	T662	species	synonym	Schütt	1895			
T664	Gymnodinium pascheri	T476	species	synonym	(Suchlandt) Schiller	1954			
T665	Gyrodinium pellucidum	T436	species		(Wulff) Schiller	1933			
T666	Gymnodinium pellucidum	T665	species	synonym	Wulff	1919			
T667	Gyrodinium pepo	T436	species		(Schütt) Kofoid & Swezy	1921			
T668	Gymnodinium pepo	T667	species						nom. Illeg.
T669	Gymnodinium peridinium		species						nom. Illeg.
T670	Aureodinium pigmentosum	T856	species		Dodge	1967			
T671	Gymnodinium pigmentosum	T670	species	synonym	(Dodge) Loeblich	1970			
T672	Cochlodinium pirum	T815	species		(Schütt) Lemmermann	1921			
T673	Gymnodinium pirum	T672	species	synonym	Schütt	1895			
T674	Gymnodinium polonicum	T476	species	synonym	(Woloszynska) Woloszynska	1917			
T675	Protospis nigra	T857	species		(Pouchet) Kofoid & Swezy	1921			
T676	Gymnodinium polyphemus var. nigrum	T675	variety	synonym	Pouchet	1887			
T677	Gymnodinium polyphemus var. roseum	T675	variety	synonym	Pouchet	1897			
T678	Warnowia polyphemus	T857	species		(Pouchet) Schiller	1933			
T679	Gymnodinium polyphemus	T678	species	synonym	Pouchet	1885			
T680	Gymnodinium polyphemus var. magna		variety		Dogiel	1906			nomen nudum
T681	Oodinium pouchetii	T854	species		(Lemmermann) Chatton	1912			
T682	Gymnodinium poucheti	T681	species	synonym	Lemmermann	1899			
T683	Gymnodinium pouchetii	T681	species	synonym	Lemmermann	1899			
T684	Gymnodinium pouchettii	T683	species	lexical variant					
T685	Gyrodinium prunus	T436	species		(Wulff) Lebour	1925			
T686	Gymnodinium prunus	T685	species						nom. Illeg.
T687	Gymnodinium pseudonoctiluca	T492	species	synonym	Pouchet	1885			
T688	Gymnodinium pseudopalustre	T291	species	synonym	Woloszynska				
T689	Gymnodinium pseudopalustris	T291	species	synonym	Schiller	1932			
T690	Takayama pulchella	T829	species		(Larsen) de Salas et al.	2003			
T691	Gymnodinium pulchellum	T690	species	synonym	Larsen	1994			
T692	Glenodinium pulvisculus	T835	species		(Ehrenberg) Stein				
T693	Gymnodinium pulvisculus	T692	species		(Ehrenberg) Stein				nom. Illeg.
T694	Gymnodinium pulvisculus	T681	species	synonym	Pouchet	1885			
T695	Gymnodinium pulvisculus var. oculatum	T692	variety	synonym	Largajolli	1907			
T696	Gyrodinium pusillum	T436	species		(Schilling) Kofoid & Swezy	1921			
T697	Gymnodinium pusillum	T696	species	synonym	Schilling	1891			
T698	Gymnodinium pyrenoidosum		species		Horiguchi & Chihara	1988		needs to be placed in new Genus	
T699	Peridiniopsis quadridens	T445	species		(Thompson) Bourrelly				
T700	Gymnodinium quadridens	T699	species	synonym					
T701	Gymnodinium quadrilobatum		species		Horiguchi & Pienaar	1994		needs to be placed in new Genus	
T702	Amphidinium elenkinii	T858	species		Skvortzov	1925			
T703	Gymnodinium rarum	T702	species	synonym	Litvienko	1963			
T704	Gyrodinium resplendens	T436	species		Hulburt	1957			
T705	Gymnodinium resplendens	T704	species		Hulburt	1957			nom. Illeg.
T706	Gymnodinium robusta	T707	species	lexical variant					
T707	Gymnodinium robustum		species		Cleve-Euler				nomen nudum
T708	Chytriodinium roseum	T861	species		(Dogiel) Chatton	1912			
T709	Gymnodinium roseum	T708	species	synonym	Dogiel	1906			
T710	Gyrodinium rubrum	T436	species		(Kofoid & Swezy) Takano & Horiguchi	2004			
T711	Gymnodinium rubrum	T710	species	synonym	Kofoid & Swezy	1921			
T712	Gymnodinium sanguineum	T636	species	synonym	Hirasaka	1922			
T713	Gymnodinium sangineum	T712	species	lexical variant					
T714	Gymnodinium simplex		species		(Lohmann) Kofoid & Swezy	1921		needs to be placed in new Genus	
T715	Gymnodinium simplicissimum		species		Stein	1878			nom. Illeg.
T716	Gymnodinium skvortzovii	T476	species	synonym	Schiller	1933			
T717	Gymnodinium skvortzowii	T716	species	lexical variant					
T718	Gonyaulax spinifera	T863	species		(Claparède & Lachmann) Diesing				
T719	Gymnodinium spinifera	T718	species		(Claparède & Lachmann) Diesing				nom. Illeg.
T720	Gyrodinium acutum	T436	species		(Schütt) Kofoid & Swezy	1921			
T721	Gymnodinium spirale var. acuta	T720	variety	synonym	Schütt	1895			
T722	Gymnodinium spirale var. cornutum	T498	variety	synonym	Pouchet	1885			
